,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
국내주식,1.0,0.5010570171012326,0.7092056287835748,0.17582247012897623,0.11216453945829999,0.3595381616001383,0.3325645078223064,0.18243555076037807
글로벌 선진국 DM,0.5010570171012326,1.0,0.6466194498492861,0.16615852678310183,0.5326744806477777,0.845277520761975,0.7395831955424796,0.7398701778053804
글로벌 신흥국 EM,0.7092056287835748,0.6466194498492861,1.0,0.11691226680181444,0.36471143884087065,0.5360662122255555,0.5629154697885671,0.4217942654990032
국내 국채(초장기),0.17582247012897623,0.16615852678310183,0.11691226680181444,1.0,0.3334158213585663,0.26681838299204086,0.17449525179162617,0.007987774757255038
글로벌 IG 크레딧,0.11216453945829999,0.5326744806477777,0.36471143884087065,0.3334158213585663,1.0,0.3923000932412539,0.5512586645510794,0.42970910674001545
사모주식 PE/VC,0.3595381616001383,0.845277520761975,0.5360662122255555,0.26681838299204086,0.3923000932412539,1.0,0.6467356267802572,0.7705397464561377
실물 인프라,0.3325645078223064,0.7395831955424796,0.5629154697885671,0.17449525179162617,0.5512586645510794,0.6467356267802572,1.0,0.6878643203141853
사모대출 PD,0.18243555076037807,0.7398701778053804,0.4217942654990032,0.007987774757255038,0.42970910674001545,0.7705397464561377,0.6878643203141853,1.0
