Date,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
2016-09-30,0.003127081561528,-0.0121311012218113,0.0098214775674267,0.0072257646141395,-0.0180944074671303,0.0017798121660161,0.0033625449154877,-0.0270117621591993
2016-10-31,-0.005260401695149,0.0188598605404264,0.0323050659816948,-0.0227535742279865,0.0250102800853457,0.0159773576159403,0.0073591905255079,0.0279157284742337
2016-11-30,-0.0047003087534402,0.0354937018318299,-0.0265194337957843,-0.0358149753674961,-0.0138070692542419,0.0501898104385603,-0.0230752564146746,0.0562830832915064
2016-12-31,0.0360096695724163,0.0534830862355564,0.0294422335813471,0.0086903370056996,0.0407106861583612,0.0599800020061003,0.0586530353519918,0.0612567476381364
2017-01-31,0.0347575923234717,-0.0029886416725625,0.0346256182190898,-0.0067856066990762,-0.0285276360722935,0.0076103690184237,-0.0130381144211988,-0.0202392644001289
2017-02-28,0.0045887098048214,-0.0047286950841546,-0.0132831584158135,0.002226125016872,-0.0173544729111341,-0.0242828880606956,-0.0035512152768243,0.0172861935471326
2017-03-31,0.0429382723021418,-0.0048250933747555,0.0213804041231886,0.0018382078239056,-0.0178281164488973,0.0016987369829781,0.0215272872193281,-0.005112131235651
2017-04-30,0.0238930453146719,0.0285838315041722,0.0287725641250506,-0.0006880253870679,0.0235924305544277,0.0626208437338626,0.0263861647022358,0.0242358727910594
2017-05-31,0.0640111953200959,0.0153816959770851,0.0229599711399259,0.0016830850705804,0.0079144389318217,0.0205740195550814,0.0344964223931543,-0.0655644391038019
2017-06-30,0.0241947262196846,0.0238827337846336,0.029238052631187,-0.0003818903148272,0.0246861680538761,0.0380413990709724,0.0206033110808707,0.0401837403472251
2017-07-31,0.0074399670121221,0.0045333965707592,0.0378312935219771,0.0005348506950584,-0.0117661769009924,0.0106125905753087,0.0097225017634807,-0.0132762401941342
2017-08-31,-0.0206612556324591,0.0002097091875803,0.0228601909073979,-0.0008400303728345,0.0061271657366224,-0.023194399704428,0.0161365442319769,-0.0530934229024387
2017-09-30,0.0288868612061596,0.0416822830534222,0.0196724187663521,-0.0093243522748004,0.0196228569492795,0.0656927416228312,0.0030627618670771,0.0623604489124935
2017-10-31,0.0537975591254344,0.0012429159663667,0.0125355522072647,-0.0135010018832272,-0.0177367149969625,-0.0080193989105104,-0.0135606638523743,-0.0468740061229782
2017-11-30,-0.0251683653606844,-0.019270416950039,-0.0418290746318664,0.0086025179930555,-0.0392738731076037,-0.060597440099586,-0.0218235747678257,-0.0307322493466658
2017-12-31,0.0075302925687519,0.0052199309219576,0.0268903201374535,0.0009304043918076,0.0017419191193508,0.0134939990654712,-0.0207510345778226,-0.0164543582005044
2018-01-31,0.0282184617787533,0.0548666579642853,0.0860683220548412,-0.02192265565244,-0.0094404926311688,0.0737359543357945,0.0150493208058453,-0.0122511605205449
2018-02-28,-0.0597833865559012,-0.0374823961520039,-0.0529750970333638,0.0050688713231021,-0.0161278439837712,-0.0487266491319584,-0.0619956546953077,-0.0286984583175644
2018-03-31,0.0085198566464841,-0.0328717619425892,-0.0107837688096391,0.0115051423721919,-0.0106329739474895,-0.0367269986550623,-0.0117289339759117,0.0138171913380267
2018-04-30,0.0252577894011769,0.0127726358311681,-0.0230444674624331,-0.0045185612578987,-0.0104686651592806,0.018632170942701,0.025449021292121,0.0187593703921271
2018-05-31,-0.0371517302970587,0.0136129654953667,-0.0194377931696879,0.0033651575847839,0.0122095025170343,0.0003566161593642,-0.0098578174057718,0.0482645436190973
2018-06-30,-0.0339229882582875,0.0439364968795306,-0.0050474581413307,0.0101396122775212,0.0372545993917401,0.0389022611178435,0.0587390860954868,0.0354886764646162
2018-07-31,-0.0058265681757234,0.0265131622407599,0.031734748348061,0.0033974211851408,0.0099380036903538,0.0364747614938283,0.0151084942806014,0.0424276313760771
2018-08-31,0.005200625421829,0.0103279179159423,-0.0387241879785845,0.0208541851884225,-0.0008936007595523,0.0061226989319578,-0.0268931295656423,0.01649386849661
2018-09-30,0.0055072950093426,0.0046269113816248,-0.008589703604627,-0.0033921317120521,-0.0042185946559857,-0.0014362972027002,-0.0145132279429207,-0.0177668779970363
2018-10-31,-0.1212974265485999,-0.0501532928269456,-0.0667782597611204,0.0124801904228741,0.0018657797471355,-0.0811196277618234,-0.0150562537866663,-0.0201899600586064
2018-11-30,0.0291776286065343,-0.0071204341841336,0.0299613564709495,0.014193952546303,-0.0216963468542398,-0.0288392459828155,0.0007041384469939,-0.0138786405101553
2018-12-31,-0.0213549744132377,-0.0770079339626792,-0.0355107451115813,0.011048875108891,0.0179386901724822,-0.0847622246180346,-0.0315556859993159,-0.1013768652912684
2019-01-31,0.0919866839600911,0.0701713849255141,0.0962143699918194,-0.003861354481526,0.0269219405957223,0.102632044023222,0.0777205695773544,0.1286107991544387
2019-02-28,-0.0075797048654926,0.0354430008334962,-0.0098966294055007,0.0027061118195768,0.003450826164939,0.0335565051259871,0.0325678993525111,0.0370208498120532
