asset,official_mapped_total,baseline_policy_mvo,BL_MVO,Robust_BL,active_BL,active_Robust_BL
국내주식,0.208,0.21377829627683237,0.18568205590410095,0.19166145662997042,-0.022317944095899045,-0.016338543370029573
글로벌 선진국 DM,0.32752,0.2062217037231676,0.29751999999999995,0.3008735366804764,-0.030000000000000027,-0.026646463319523583
글로벌 신흥국 EM,0.02848,0.1,0.03679794409589918,0.02746500668955322,0.008317944095899178,-0.0010149933104467782
국내 국채(초장기),0.218,0.17899999999999994,0.23838617928297234,0.24800000000000003,0.020386179282972344,0.030000000000000027
글로벌 IG 크레딧,0.074,0.12000000000000006,0.10399999998034601,0.09246857662371533,0.029999999980346012,0.01846857662371533
사모주식 PE/VC,0.04766666666666666,0.0,0.017666666666666664,0.017666666666666667,-0.03,-0.029999999999999995
실물 인프라,0.04766666666666666,0.08000000000000007,0.04128048740334814,0.043198090042951345,-0.0063861792633185255,-0.004468576623715317
사모대출 PD,0.04766666666666666,0.1,0.07766666666666666,0.07766666666666665,0.03,0.029999999999999985
