scenario,raw_min_corr_eigenvalue,correction,final_min_corr_eigenvalue
Stress2_policy_equity,0.03351825374363105,none,0.03351825374363105
Stress2_include_PE,-0.042748691256431694,Higham,-9.128216707951319e-13
Stress3,-0.2007662226995283,eigenvalue clipping,9.455656496596564e-09
Stress3,-0.2007662226995283,Higham,-9.632922134200725e-13
