iteration,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
0,0.15000000000000008,0.3700000000000001,8.72086874833825e-17,0.2499999999999999,0.10000000000000005,0.029999999999999978,1.0560129160008813e-16,0.09999999999999978
1,0.2300000000000001,0.20000000000000004,0.09999999999999991,0.25000000000000006,0.10000000000000003,0.019999999999999987,0.0,0.09999999999999999
2,0.14999999999999997,0.4000000000000001,0.0,0.15000000000000002,0.12000000000000004,7.099886920810551e-18,0.07999999999999996,0.09999999999999999
3,0.15,0.28000000000000014,0.1,0.22999999999999965,0.12000000000000001,0.0,0.020000000000000167,0.09999999999999999
4,0.25000000000000006,0.2000000000000001,0.09999999999999964,0.15000000000000002,0.11999999999999983,0.09999999999999985,3.024421933206798e-17,0.08000000000000046
5,0.16187291461403275,0.2581270853859673,0.1,0.2500000000000001,0.04999999999999994,2.4893312854798667e-17,0.07999999999999978,0.1
6,0.23022616149988212,0.19999999999999976,0.09999999999999999,0.169773838500118,0.12000000000000004,0.1,0.08000000000000024,0.0
7,0.21999999999999992,0.20000000000000007,0.1,0.23000000000000015,0.11999999999999987,0.0,0.03227916766887553,0.09772083233112448
8,0.24999999999999992,0.19999999999999996,0.1,0.25,0.08000000000000024,0.1,1.436778559608766e-17,0.01999999999999981
9,0.15000000000000013,0.2999999999999998,0.1,0.15000000000000002,0.11999999999999997,1.1662476300683018e-16,0.07999999999999993,0.09999999999999999
10,0.14999999999999994,0.3800000000000001,2.1090231510325078e-17,0.25000000000000006,0.1,0.0,0.01999999999999993,0.09999999999999999
11,0.25000000000000006,0.20000000000000007,0.0999999999999999,0.21,0.12000000000000008,0.0,0.09999999999999994,0.02
12,0.25,0.2,0.1,0.15000000000000005,0.12,0.07999999999999995,5.898059818321144e-17,0.09999999999999996
13,0.14999999999999988,0.31781756685757245,0.06218243314242773,0.25,0.09999999999999999,5.326145391236452e-17,0.1,0.01999999999999979
14,0.24999999999999997,0.19999999999999984,0.1,0.25,0.08000000000000018,1.5975475244370124e-17,0.1,0.019999999999999886
15,0.15000000000000008,0.27,0.1,0.25,0.09999999999999994,1.5402860121270617e-17,0.02999999999999997,0.09999999999999999
16,0.24999999999999986,0.31739303398200824,1.398240045439295e-16,0.19260696601799193,0.11999999999999997,0.019999999999999924,8.967665427671488e-18,0.1
17,0.25000000000000006,0.2199999999999999,0.1,0.1500000000000003,0.09999999999999974,8.71376402546705e-18,0.08000000000000007,0.1
18,0.25,0.22,0.09999999999999999,0.15,0.1,0.0,0.1,0.07999999999999999
19,0.22000000000000003,0.29999999999999993,1.3877787807814457e-17,0.24999999999999994,0.0999999999999999,3.3785284456525386e-17,0.1,0.0300000000000001
20,0.15,0.3700000000000001,0.0,0.25,0.09999999999999999,0.07332020467513949,0.056679795324860484,1.230828100097476e-17
