,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
국내주식,0.0007605000000000001,0.0003165678234045578,0.0005808394099737459,4.457099617769401e-05,3.412045290321394e-05,0.00030848374265291775,0.00014267017385576793,6.759237155671988e-05
글로벌 선진국 DM,0.0003165678234045577,0.0005248799999999998,0.0004399598736774538,3.4992985740519985e-05,0.00013461749474930594,0.0006025138167991337,0.00026358745089133785,0.00022773204072849585
글로벌 신흥국 EM,0.0005808394099737461,0.00043995987367745386,0.0008819999999999982,3.1917048836894015e-05,0.00011947946736426797,0.0004953251800964119,0.00026006694704231603,0.00016829591193410188
국내 국채(초장기),4.4570996177694e-05,3.4992985740520005e-05,3.191704883689402e-05,8.450000000000001e-05,3.3808364285758004e-05,7.631005753572202e-05,2.4952821006202002e-05,9.864901825209915e-07
글로벌 IG 크레딧,3.412045290321394e-05,0.0001346174947493059,0.00011947946736426797,3.3808364285758004e-05,0.00012167999999999999,0.00013463739200039783,9.459598683696394e-05,6.368288961886996e-05
사모주식 PE/VC,0.00030848374265291775,0.0006025138167991339,0.0004953251800964119,7.631005753572203e-05,0.000134637392000398,0.0009679999999999999,0.00031302004336164404,0.0003220856140186639
실물 인프라,0.0001426701738557679,0.0002635874508913379,0.000260066947042316,2.495282100620199e-05,9.459598683696396e-05,0.0003130200433616439,0.00024199999999999997,0.00014376364294566395
사모대출 PD,6.759237155671993e-05,0.00022773204072849598,0.000168295911934102,9.864901825209991e-07,6.368288961887e-05,0.00032208561401866393,0.000143763642945664,0.0001805
