method,expected_return,volatility,sharpe,TE_vs_official,turnover_vs_official,utility
Baseline Policy MVO,0.05723005007554424,0.1010582004258493,0.26944918829743153,0.017966702997243532,0.2079649657668828,0.03680453032892199
BL-MVO,0.05616102175962166,0.09841554243148008,0.2658220552697331,0.010000000000000007,0.08870412499199998,0.03678978377545675
Robust BL,0.05603843315893807,0.0981585672002657,0.26526908350051376,0.009999999999999995,0.0784685766698695,0.036768224529319916
