asset,mean_relaxed,p05_relaxed,p50_relaxed,p95_relaxed
국내주식,0.19126100815543112,0.14999999999999986,0.1500000000000001,0.2500000000000001
글로벌 선진국 DM,0.13603942835591665,0.0,0.08245711718614644,0.3700000000000001
글로벌 신흥국 EM,0.21169528914784125,0.0,0.2760079802180605,0.38050261413710373
국내 국채(초장기),0.19508018276958816,0.1499999999999999,0.1800000000000001,0.25
글로벌 IG 크레딧,0.09838255601675548,0.04999999999999995,0.11999999999999987,0.1200000000000001
사모주식 PE/VC,0.009395760023942183,0.0,0.0,0.07335812823090863
실물 인프라,0.04485865630606846,0.0,4.493271069438027e-17,0.18000000000000005
사모대출 PD,0.11328711922445557,0.0,0.17999999999999974,0.1800000000000002
