구분,최소고유값,조건수
표본 공분산,0.0014917956145250337,91.84931043947884
Ledoit-Wolf,0.004893297410960081,25.320212177456828
CMA Sigma,0.0014933309924158936,80.84833239095344
LW 상관+CMA sigma,0.0028390675201691883,38.6210989677663
