candidate,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD,expected_return,expected_return_vs_official,volatility_common_Sigma,sharpe_common_Sigma,utility,utility_vs_official,TE,turnover,stress1_expected_return_change,stress1_active_loss,stress1_utility_change,stress2_utility_change,stress3_Higham_utility_change,domestic_equity_full_sell_trn,domestic_equity_incremental_vs_official_trn,decision_role
Team,0.22,0.275,0.065,0.205,0.085,0.03,0.065,0.054,0.057087000000000006,0.0014568933333333478,0.10607109660433538,0.255366455774842,0.034584844930307515,0.001881506151215663,0.008625353253831368,0.08318666666666669,0.028386185416501904,-0.00034586041587776617,0.028386185416501897,-0.013062932500000079,-0.0036405660836963775,132.45759999999996,-22.387200000000018,final_candidate
Robust BL TE1.00,0.1916614569945745,0.3008735357093494,0.027465007296076,0.248,0.0924685766698695,0.0176666666666666,0.0431980899967971,0.0776666666666666,0.05509462696287618,-0.0005354797037904757,0.09815856720026564,0.2556539656052383,0.03582441833325805,0.003121079554166198,0.010000000000000016,0.07846857666986956,0.02207608887830819,-0.006655956954071479,0.02207608887830819,-0.011791009221287486,-0.002733229084147408,185.32598583092178,30.48118583092182,final_candidate
Robust BL TE0.95,0.1917272206959508,0.3004102588610353,0.0278625204430139,0.248,0.0845392770628299,0.0187353968214658,0.0500586594490374,0.0776666666666666,0.0552250914073043,-0.0004050152593623596,0.09856818696399286,0.25591514041461544,0.035793716444567,0.0030903776654751455,0.009500000000001398,0.07293126984520075,0.02259138818199522,-0.0061406576503844484,0.022591388181995214,-0.011793795487309505,-0.002953425208903196,185.20329706963415,30.35849706963417,sensitivity
Blend 25% RBL,0.21291536424864363,0.28146838392733736,0.055616251824019004,0.21575,0.08686714416746738,0.02691666666666665,0.05954952249919927,0.05991666666666665,0.05658890674071905,0.0009588000740523919,0.10402940380665121,0.2555903020470744,0.03494467302798446,0.0022413342488926055,0.007471958618420182,0.06905161607266266,0.026808661281953486,-0.001923384550426184,0.026808661281953486,-0.01274637405694511,-0.0034034201456274935,145.6746964577304,-9.170103542269572,sensitivity
Blend 50% RBL,0.20583072849728723,0.2879367678546747,0.046232503648038,0.22649999999999998,0.08873428833493475,0.0238333333333333,0.05409904499839855,0.0658333333333333,0.05609081348143809,0.0004607068147714291,0.10202843277015866,0.25572100612594284,0.03527121129436851,0.0025678725152766604,0.007342242714853677,0.06558583698137135,0.025231137147405047,-0.0035009086849746227,0.025231137147405047,-0.012428867362807995,-0.0031731486663463537,158.8917929154609,4.046992915460926,final_candidate
Blend 75% RBL,0.19874609274593086,0.29440515178201204,0.036848755472057,0.23725,0.09060143250240213,0.02074999999999995,0.04864856749759783,0.07174999999999995,0.05559272022215713,-3.738644450952677e-05,0.10007062629137838,0.25574657789827465,0.035564459729459715,0.0028611209503678625,0.00828443155676321,0.06928542213872371,0.02365361301285663,-0.0050784328195230405,0.02365361301285663,-0.012110412417588798,-0.0029497516458530035,172.10888937319135,17.26408937319137,sensitivity
