,2026H1_actual,2027_team,change_pp,static_balance_equivalent_trn,official_2027,official_change_pp,official_static_balance_equivalent_trn,incremental_team_vs_official_trn
국내주식,0.291,0.22,-7.099999999999998,-132.45759999999996,0.208,-8.299999999999999,-154.84479999999996,22.387200000000018
해외주식,0.354,0.34,-1.3999999999999957,-26.11839999999992,0.356,0.20000000000000018,3.731200000000003,-29.84959999999992
국내채권,0.154,0.205,5.099999999999999,95.14559999999997,0.218,6.4,119.3984,-24.252800000000022
해외채권,0.059,0.085,2.600000000000001,48.505600000000015,0.074,1.5,27.983999999999998,20.521600000000017
대체투자,0.14,0.149,0.899999999999998,16.790399999999963,0.143,0.2999999999999975,5.596799999999953,11.193600000000009
단기자금,0.002,0.001,-0.1,-1.8656,0.001,-0.1,-1.8656,0.0
