,Official 2027,Official mapped,Policy MVO,Ledoit-Wolf,Box Robust,Ellipsoid Robust,Michaud mean,Team scenario
국내주식,0.208,0.208,0.2135498580967975,0.19967200400590163,0.2062511361842202,0.1498499999999999,0.200656876292787,0.22
해외주식,0.356,0.35600000000000004,0.3059301419032025,0.31980799599409826,0.3132288638157797,0.3696299999999998,0.3362713802052153,0.34
국내채권,0.218,0.218,0.17981999999999967,0.17981999999999998,0.21630062060137836,0.2497500000000001,0.2025322998065539,0.205
해외채권,0.074,0.07399999999999993,0.11988,0.11988,0.11988,0.09989999999999989,0.10217018718616289,0.085
대체투자,0.143,0.14299999999999977,0.17981999999999998,0.17981999999999992,0.14333937939862162,0.12986999999999999,0.15736925650928044,0.149
단기자금,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
