method,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD,단기자금,expected_return,volatility,sharpe,TE_vs_official,turnover_vs_official,utility
Policy_MVO_cash_optimized,0.21405733051297174,0.20594266948702833,0.1,0.15999999999999975,0.12,0.0,0.08000000000000008,0.09999999999999999,0.019999999999999987,0.05916434398307783,0.10068174416636488,0.2896686407705367,0.018360734235001588,0.2272439971796385,0.03889071676631513
BL-MVO_cash_optimized,0.18589962230786689,0.29751999999999995,0.03658037769213317,0.22436273059756412,0.09439354964291786,0.017666666666666678,0.0459103864261846,0.07766666666666668,0.02,0.056063624884201496,0.09805651740692654,0.26580206572133885,0.010000000000005569,0.08385665793261517,0.03683346367225172
Robust_BL_cash_optimized,0.1894755923366836,0.30159845991564127,0.028925947747675197,0.2397026395293675,0.07800570688226208,0.01844798496514056,0.046177001956563234,0.07766666666666662,0.01999999999999999,0.05591916488710737,0.09776636955457238,0.2651133002605718,0.010000000000002184,0.07515429415930468,0.03680263885534493
