,Official 2027,BL-MVO,Robust BL
국내주식,0.208,0.1856820536940985,0.1916614561381548
해외주식,0.356,0.33431794630590156,0.3283385438618453
국내채권,0.218,0.2383861788981374,0.24800000000000005
해외채권,0.074,0.10400000000000002,0.09246857679294879
대체투자,0.143,0.13661382110186243,0.13853142320705125
단기자금,0.001,0.001,0.001
