method,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
mvo_no_caps,0.15,0.09512454369010938,0.2748754563098907,0.18000000000000008,0.11999999999999998,1.2650353342115263e-17,1.8321037477169788e-17,0.17999999999999994
box_no_caps,0.14999999999999986,0.09512454272361101,0.2748754572763892,0.18000000000000002,0.12,1.8308489597492348e-17,1.9055336195602127e-18,0.18
ell_no_caps,0.15000000000000005,0.20731787682719555,0.16268212317280442,0.24999999999999992,0.09999999999999998,8.36447887699753e-18,0.10582964300556869,0.024170356994431402
bl_no_caps,0.1856820529918024,0.29752000000000006,0.03679794700819752,0.2383861788608824,0.10399999999999998,0.017666666666666664,0.041280487805784256,0.07766666666666665
rbl_no_caps,0.1916615896790147,0.30087341647870164,0.02746499384228367,0.24799999999999997,0.0924685591252568,0.017666666666666664,0.04319810754140991,0.07766666666666665
