method,expected_return,volatility,sharpe,TE,turnover,model_cov_volatility,model_cov_sharpe
Official mapped,0.05565576242909576,0.10717436796052375,0.23938337978858643,0.0,0.0,0.10717436796052375,0.23938337978858643
Policy MVO,0.05928258167366668,0.10107839235773164,0.28970169578905863,0.017992085179184485,0.20754405939156137,0.10107839235773164,0.28970169578905863
Ledoit-Wolf,0.05919923122834521,0.10090321949808702,0.28937858844928915,0.01678942117984634,0.20198865532198867,0.09536080336878534,0.30619741232070047
Box Robust,0.0580701971485823,0.09887635536523706,0.28389190767493866,0.018026639956965393,0.16970303636970302,0.09887635536523706,0.28389190767493866
Ellipsoid Robust,0.05626,0.09888320812556624,0.26556581747078734,0.01610181930737771,0.18148481815148476,0.09888320812556624,0.26556581747078734
Michaud mean,0.05759187652305324,0.10265126010579037,0.26879238008980694,0.010552700856278756,0.11864529410685132,0.10265126010579037,0.26879238008980694
