asset,max_abs_own_weight_change,shock_for_max_own,max_portfolio_L1_change,shock_for_max_L1
글로벌 선진국 DM,0.038329201091297116,0.005,0.0766584021825949,0.005
국내주식,0.03832919324550699,-0.005,0.07665838649101431,-0.005
글로벌 신흥국 EM,0.0,-0.005,0.0,-0.005
국내 국채(초장기),0.0,-0.005,0.0,-0.005
글로벌 IG 크레딧,0.0,-0.005,0.0,-0.005
사모주식 PE/VC,0.0,-0.005,0.0,-0.005
실물 인프라,0.0,-0.005,0.0,-0.005
사모대출 PD,0.0,-0.005,0.0,-0.005
