,Official mapped,Policy MVO,Ledoit-Wolf,Box Robust,Ellipsoid Robust,Michaud mean,Team scenario
국내주식,0.208,0.2135498580967975,0.19967200400590163,0.2062511361842202,0.1498499999999999,0.200656876292787,0.22
글로벌 선진국 DM,0.32752000000000003,0.20603014190320262,0.21990799599409827,0.2133288638157797,0.2697299999999998,0.26168721873506695,0.275
글로벌 신흥국 EM,0.02847999999999999,0.09989999999999989,0.0999,0.0999,0.0999,0.07458416147014836,0.065
국내 국채(초장기),0.218,0.17981999999999967,0.17981999999999998,0.21630062060137836,0.2497500000000001,0.2025322998065539,0.205
글로벌 IG 크레딧,0.07399999999999993,0.11988,0.11988,0.11988,0.09989999999999989,0.10217018718616289,0.085
사모주식 PE/VC,0.047666666666666586,8.67862496601136e-17,0.0,0.0,7.105253885253405e-17,0.017783622614625138,0.03
실물 인프라,0.047666666666666586,0.07992,0.07991999999999991,0.043439379398621615,0.0999,0.062914396887139,0.065
사모대출 PD,0.047666666666666586,0.09989999999999989,0.0999,0.0999,0.0299699999999999,0.0766712370075163,0.054
단기자금,0.001,0.001,0.001,0.001,0.001,0.001,0.001
