portfolio,baseline_expected_return,stress_expected_return,expected_return_change,baseline_active_return_vs_official,stress_active_return_vs_official,active_return_change,baseline_volatility,stress_volatility,baseline_utility,stress_utility,utility_change
Official,0.05563010666666667,0.08436215249904584,0.02873204583237917,0.0,0.0,0.0,0.10706719359256336,0.10706719359256336,0.03270333877909179,0.06143538461147096,0.02873204583237917
Team,0.057087000000000006,0.08547318541650145,0.028386185416501446,0.001456893333333334,0.0011110329174556094,-0.00034586041587772454,0.10607109660433556,0.10607109660433556,0.03458484493030743,0.06297103034680887,0.02838618541650144
Robust_BL,0.05509462692215365,0.07717071578792152,0.022076088865767868,-0.0005354797445130191,-0.007191436711124322,-0.0066559569666113025,0.09815856718619034,0.09815856718619034,0.03582441829806196,0.05790050716382983,0.022076088865767868
