portfolio,baseline_alpha_vs_official,stress1_alpha_vs_official,stress1_active_loss
Team,4.388548854310226e-06,-6.0589962198487335e-05,-6.497851105279756e-05
Robust_BL,-0.0020373057802989,-0.0036156410474093,-0.0015783352671104004
