,Official mapped,Policy MVO,Ledoit-Wolf,Box Robust,Ellipsoid Robust,Michaud mean
국내주식,0.2082082082082082,0.21376361227778087,0.19987187139086862,0.2064575875692559,0.15,0.200857734003656
글로벌 선진국 DM,0.3278478478478479,0.20623638772221906,0.22012812860913142,0.2135424124307441,0.27,0.2619491675190279
글로벌 신흥국 EM,0.028508508508508508,0.1,0.1,0.1,0.1,0.0746588202900934
국내 국채(초장기),0.21821821821821824,0.18000000000000005,0.17999999999999997,0.216517136776038,0.25,0.2027350353493679
글로벌 IG 크레딧,0.07407407407407408,0.12,0.12,0.12,0.0999999999999999,0.1022724595238908
사모주식 PE/VC,0.04771438104771438,0.0,7.095188019235451e-19,4.966115132234157e-17,3.219076716313344e-17,0.0178014243430854
실물 인프라,0.04771438104771438,0.08000000000000003,0.08,0.0434828632239619,0.1,0.0629773753008608
사모대출 PD,0.04771438104771438,0.09999999999999999,0.09999999999999999,0.0999999999999999,0.03,0.0767479836700175
