국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
-0.03713206439514896,0.02545850077893739,-0.02499993836767013,0.057679230578782895,0.05310886082923275,0.05760193338563672,0.002020786918129111,0.1172836568986915
0.10803604086223285,0.032822228937870276,0.08119377827570615,0.05628367600533362,0.060739488753534854,0.09939644892608591,0.04476017186823561,0.08688389236731389
0.10513972417717597,0.14546736984441677,0.12313991523477212,0.04244250675837135,0.11959274275815404,0.17637646618330358,0.18919320202547002,0.23895922517035878
-0.0444244970053789,0.03856898564298482,0.051677751396596104,0.052412260353771736,0.07082495636097495,0.008555211168254126,0.0015120195838916328,0.015294457045015253
0.21983041843702375,0.07379023870718047,0.09772577971019,0.015709609785594575,0.043624080303344935,0.10985723683767917,0.03754093619687472,0.048346933633274414
0.04876120952608527,0.04508039526467725,0.08459588960844415,0.048808771387168645,0.04145942716477233,0.05805494027939357,0.0578011480365874,0.05187272650109029
0.1304328501478002,0.09698438875792897,0.13568115817538778,0.0727939877344792,0.08387342685990427,0.14990236920152622,0.09727674988624643,0.03021213619618101
0.05099918629782345,0.019692978339060044,0.07136805430404566,0.016433409027613154,0.03344063664662208,-0.027183976385455555,0.023282254658505988,0.014809301791816887
0.09707329887645465,0.037843597791473595,0.07491196690229376,0.006559485908360061,-0.0005411730942447152,0.06682123645750365,-0.005350055951772917,0.0042175740293162595
0.05033702084096904,0.0635192350138693,0.09138803492556155,-0.0037528003797709306,0.05230655980010666,0.05332422490524508,0.05135927091975605,0.12463777535271145
-0.024645107598697008,0.02475064578595218,-0.012330967382917404,0.06701285115154171,0.049882397132164996,0.01181846071448231,-0.009122755025622126,0.012339895752662672
0.10091524872789272,0.05437709773468901,0.12167183451654365,0.034088957749666735,0.04749899332783349,0.014762970875896834,0.09970129995893837,0.027324442746878272
0.21641248068451008,0.12178112827484305,0.15000916015852134,0.014761786671565635,0.08460094761921867,0.14482213779988956,0.09701038952447369,0.1525499733724361
-0.08203332500995861,-0.0388214796972686,-0.025931717199027426,0.017116002047433083,0.002919961230829028,-0.10565715772091325,-0.04920502806381759,-0.10553566506365257
0.1023299439829906,0.009097433432782333,0.09462280455122224,0.03641606828172276,0.007650414795531489,0.03550915193840905,0.036457218279560166,0.0002466069209977467
-0.06989462654706965,-0.030993870470852468,0.024473703112960377,0.011056843875878627,-0.003956340688752731,-0.015871457008085676,-0.015088954214011768,0.015644813080175776
0.12690044041068715,0.09937498517588175,0.07333000414568253,0.04991996710168553,0.0803988419185056,0.09467821203859869,0.04282600419810044,0.15075775530799923
0.2701616220596099,0.15304856171500766,0.17663823606176532,0.022371855235825792,0.053672251302377585,0.16263326428248287,0.17748818245443332,0.23188255820793802
0.18702864918470297,0.0932270403306184,0.11064884366954217,0.01863012572959967,0.04253923970051639,0.1033326931242145,0.11967888583805177,0.10291521854334024
0.02713087951594393,0.008975999508304015,0.010243649340624314,0.03699852177509548,0.028109496407575672,-0.0017571267792284573,0.07494626935613449,0.02437419208637584
0.03605688766207958,0.05589124894891049,0.04946080586642382,0.05816498682325402,0.03751817861665393,0.08918548496645118,0.050918355546130924,0.027818261371509972
0.1364507848599928,0.13231717623930395,0.11813852040144945,0.035545417332853574,0.08142199344088863,0.12370732133094903,0.12876896216502254,0.18595590238089788
0.3319500906075285,0.07841728387669905,0.18030738230639348,0.04229153821466418,0.006649302055894313,0.09292438000064353,0.02855682004243746,0.05768014485732705
0.20034278000078126,0.07031001700044151,0.14023016822276962,0.016592528939504567,0.045485996663045036,0.05857857931865549,0.08110051620176878,0.0758522116914691
0.11045575577611093,0.05597754706804571,0.1366313968797501,0.023447965567651777,0.03793705740614797,0.07491455736638925,0.06507883008997498,0.0978159769865552
