asset,baseline_mvo,michaud_mean,p05,p50,p95,std,change_vs_baseline,freq_at_zero,freq_at_upper
국내주식,0.21376361227778087,0.2004774401139694,0.1499999999999999,0.22,0.25000000000000006,0.046231898067692366,-0.013286172163811477,0.0,
글로벌 선진국 DM,0.20623638772221906,0.26010436557805794,0.19999999999999987,0.26999999999999985,0.3705000000000003,0.060654265536483044,0.05386797785583888,0.0,
글로벌 신흥국 EM,0.1,0.07753935804383132,0.0,0.09999999999999999,0.1,0.03974046808758018,-0.02246064195616869,0.17333333333333334,0.72
국내 국채(초장기),0.18000000000000005,0.20076128762729883,0.14999999999999994,0.20161057645189034,0.25000000000000006,0.039886866469724475,0.020761287627298786,0.0,
글로벌 IG 크레딧,0.12,0.10257993161206633,0.049999999999999975,0.11999999999999995,0.12000000000000012,0.02645012304697063,-0.017420068387933668,0.0,
사모주식 PE/VC,0.0,0.01998329285974568,0.0,1.7140295691106866e-17,0.09627745100840517,0.03336676585244265,0.01998329285974568,0.6733333333333333,0.05
실물 인프라,0.08000000000000003,0.06344552556884803,0.0,0.07999999999999997,0.1,0.038250739342022395,-0.016554474431152003,0.18666666666666668,0.30666666666666664
사모대출 PD,0.09999999999999999,0.07510879859618255,3.271492745341841e-17,0.09999999999999995,0.1,0.03695129036083252,-0.02489120140381744,0.10333333333333333,0.6066666666666667
