,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
국내주식,0.008000892676005155,0.0018960641569672398,0.0029051763944067176,0.00028181392076274595,0.00032366393934023236,0.0021176605559970365,0.0013337266867339795,0.0012028365106666143
글로벌 선진국 DM,0.0018960641569672398,0.0017455007856839852,0.001223066843848463,0.00010858975180619622,0.000631938731936141,0.0022617012736053073,0.0013658600843072357,0.002149818721372452
글로벌 신흥국 EM,0.0029051763944067176,0.001223066843848463,0.0020739300900408505,8.90580294335629e-05,0.0004751302734130373,0.0015472898950045352,0.001142232127563439,0.0013707452926228676
국내 국채(초장기),0.00028181392076274595,0.00010858975180619622,8.90580294335629e-05,0.0003455470766117774,0.00016656128635655,0.00028655725847963006,0.00012010719826531474,-2.8229516787581834e-05
글로벌 IG 크레딧,0.00032366393934023236,0.000631938731936141,0.0004751302734130373,0.00016656128635655,0.0007940897807610575,0.0007199703095054719,0.0006815265681098351,0.0008483656830357362
사모주식 PE/VC,0.0021176605559970365,0.0022617012736053073,0.0015472898950045352,0.00028655725847963006,0.0007199703095054719,0.004077933568707736,0.0018444972798267029,0.003410418478063954
실물 인프라,0.0013337266867339795,0.0013658600843072357,0.001142232127563439,0.00012010719826531474,0.0006815265681098351,0.0018444972798267029,0.0019641771443125173,0.0021249429415039706
사모대출 PD,0.0012028365106666143,0.002149818721372452,0.0013707452926228676,-2.8229516787581834e-05,0.0008483656830357362,0.003410418478063954,0.0021249429415039706,0.004801714487615264
