method,국내주식,해외주식,국내채권,해외채권,대체투자
Official mapped,0.2082082082082082,0.3563563563563564,0.21821821821821824,0.07407407407407408,0.14314314314314314
Policy MVO,0.21376360519216756,0.3062363948078324,0.18,0.12000000000000001,0.18000000000000005
Ledoit-Wolf,0.19987185745234268,0.3201281425476574,0.17999999999999997,0.12,0.18
Box Robust,0.2064575857228898,0.31354241427711,0.2165171358736869,0.12,0.14348286412631311
Ellipsoid Robust,0.1499999999999999,0.3700000000000001,0.2499999999999999,0.1,0.1299999999999999
Michaud mean,0.2004774402061351,0.33764372346690197,0.2007612878580583,0.10257993136631,0.1585376171025944
