asset,intended_DM_shock,realized_DM_shock_clip,realized_DM_shock_Higham
사모주식 PE/VC,0.2,0.03909332148509792,0.061663820199510666
실물 인프라,0.2,0.10069208978560718,0.12348896184811653
사모대출 PD,0.2,0.12252767975215717,0.14548243323674215
