,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
국내주식,0.0038025000000000003,0.0015828391170227898,0.00290419704986873,0.00022285498088846998,0.00017060226451607,0.00154241871326459,0.00071335086927884,0.0003379618577836
글로벌 선진국 DM,0.0015828391170227898,0.0026244,0.00219979936838727,0.0001749649287026,0.00067308747374653,0.0030125690839956703,0.00131793725445669,0.00113866020364248
글로벌 신흥국 EM,0.00290419704986873,0.00219979936838727,0.00440999999999999,0.00015958524418447,0.0005973973368213401,0.00247662590048206,0.00130033473521158,0.0008414795596705099
국내 국채(초장기),0.00022285498088846998,0.0001749649287026,0.00015958524418447,0.00042249999999999997,0.00016904182142879002,0.00038155028767861,0.00012476410503100999,4.932450912604985e-06
글로벌 IG 크레딧,0.00017060226451607,0.00067308747374653,0.0005973973368213401,0.00016904182142879002,0.0006084,0.00067318696000199,0.00047297993418482,0.00031841444809435003
사모주식 PE/VC,0.00154241871326459,0.0030125690839956703,0.00247662590048206,0.00038155028767861,0.00067318696000199,0.00484,0.00156510021680822,0.00161042807009332
실물 인프라,0.00071335086927884,0.00131793725445669,0.00130033473521158,0.00012476410503100999,0.00047297993418482,0.00156510021680822,0.00121,0.00071881821472832
사모대출 PD,0.0003379618577836,0.00113866020364248,0.0008414795596705099,4.932450912604985e-06,0.00031841444809435003,0.00161042807009332,0.00071881821472832,0.0009025
