T_years,portfolio,baseline_expected_return,stress_expected_return,expected_return_change,baseline_active_return_vs_official,stress_active_return_vs_official,active_return_change
5.0,Team,0.057087000000000006,0.09723112840005373,0.04014412840005372,0.0014568933333333478,0.0009677728425110804,-0.0004891204908222674
5.0,Robust_BL,0.05504174695465402,0.08626970966935638,0.031227962714702358,-0.0005883597120126399,-0.00999364588818627,-0.00940528617617363
10.0,Team,0.057087000000000006,0.08547318541650145,0.028386185416501446,0.0014568933333333478,0.001111032917455651,-0.0003458604158776968
10.0,Robust_BL,0.05509462696287618,0.07717071584118379,0.022076088878307608,-0.0005354797037904757,-0.00719143665786201,-0.006655956954071535
20.0,Team,0.057087000000000006,0.07105459862145246,0.01396759862145245,0.0014568933333333478,-0.0022174374186860607,-0.0036743307520194085
20.0,Robust_BL,0.05519644387462664,0.06784711609302527,0.012650672218398627,-0.00043366279204001823,-0.005424919947113249,-0.004991257155073231
