,국내주식,글로벌 선진국 DM,글로벌 신흥국 EM,국내 국채(초장기),글로벌 IG 크레딧,사모주식 PE/VC,실물 인프라,사모대출 PD
국내주식,1.0,0.44098521771549964,0.6764082699663824,0.1717400533386492,0.1134465442106797,0.37140720636828306,0.34449586122385717,0.19232873489641558
글로벌 선진국 DM,0.4409852177154997,1.0,0.6572542261024076,0.1658666691978103,0.50360314147424,0.8843708422470734,0.840275285328086,0.8623978575575372
글로벌 신흥국 EM,0.6764082699663824,0.6572542261024075,1.0,0.11925980573602522,0.35705118326567986,0.6901018045447679,0.718433811660615,0.5936461210052906
국내 국채(초장기),0.17174005333864922,0.1658666691978103,0.1192598057360252,1.0,0.3328357576344446,0.259114771950269,0.16848349418928993,0.005420966289904683
글로벌 IG 크레딧,0.11344654421067973,0.5036031414742401,0.35705118326567986,0.3328357576344446,1.0,0.38980801071794274,0.5471338976297082,0.4291560369955652
사모주식 PE/VC,0.37140720636828306,0.8843708422470734,0.6901018045447679,0.259114771950269,0.38980801071794274,1.0,0.6558243395587897,0.7730205917713894
실물 인프라,0.34449586122385717,0.840275285328086,0.718433811660615,0.16848349418928993,0.5471338976297081,0.6558243395587897,1.0,0.6919701979201577
사모대출 PD,0.19232873489641558,0.8623978575575372,0.5936461210052906,0.005420966289904676,0.42915603699556515,0.7730205917713893,0.6919701979201577,1.0
